transaction_id,date,product,category,region,units_sold,unit_price,total_revenue
1001,2026-08-01,Laptop A,Electronics,Jaipur,2.0,55000.0,110000.0
1002,2026-08-02,Laptop B,Electronics,Delhi,1.0,65000.0,65000.0
1003,2026-08-03,Monitor A,Electronics,Jaipur,3.0,15000.0,45000.0
1004,2026-08-04,Keyboard A,Accessories,Mumbai,5.0,2500.0,12500.0
1005,2026-08-05,Mouse A,Accessories,Delhi,10.0,1200.0,12000.0
1006,2026-08-06,Laptop A,Electronics,Jaipur,1.0,55000.0,55000.0
1007,2026-08-07,Laptop C,Electronics,Mumbai,2.0,72000.0,144000.0
1008,2026-08-08,Monitor B,Electronics,Delhi,4.0,18000.0,72000.0
1009,2026-08-09,Keyboard B,Accessories,Jaipur,6.0,3000.0,18000.0
1010,2026-08-10,Mouse B,Accessories,Mumbai,8.0,1500.0,12000.0
1011,2026-08-11,Laptop B,Electronics,Delhi,2.0,65000.0,130000.0
1012,2026-08-12,Monitor A,Electronics,Jaipur,2.0,15000.0,30000.0
1013,2026-08-13,Laptop C,Electronics,Mumbai,1.0,72000.0,72000.0
1014,2026-08-14,Keyboard A,Accessories,Mumbai,4.0,2500.0,10000.0
1015,2026-08-15,Mouse A,Accessories,Delhi,12.0,1200.0,14400.0
1016,2026-08-16,Laptop D,Electronics,Jaipur,3.0,58000.0,45000.0
1017,2026-08-17,Laptop E,Electronics,Delhi,2.0,60000.0,120000.0
1018,2026-08-18,Monitor C,Electronics,Delhi,3.0,18000.0,45000.0
